id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,image_hyperlinks,phyenotype (metamorphosis stage),tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_subphylum_name,taxon_species_name,taxon_subspecies_name
8653996,2017/08/19 12:51 PM EDT,8/19/2017,2017-08-19 16:51:00 UTC,Eastern Time (US & Canada),88665,jpage_cwf,2017-11-02 14:09:49 UTC,2019-11-06 16:26:14 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/8653996,https://static.inaturalist.org/photos/11588142/medium.jpeg?1509629134,https://static.inaturalist.org/photos/11588142/medium.jpeg?1509629134,butterfly,,,3,0,FALSE,,"Les Pays-d'en-Haut, Québec, Canada",45.89993,-74.254085,5,,,FALSE,,,,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
8654015,2017/08/23 12:01 PM EDT,8/23/2017,2017-08-23 16:01:00 UTC,Eastern Time (US & Canada),88665,jpage_cwf,2017-11-02 14:09:55 UTC,2019-11-06 16:23:47 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/8654015,https://static.inaturalist.org/photos/11588167/medium.jpeg?1509629265,https://static.inaturalist.org/photos/11588167/medium.jpeg?1509629265,butterfly,,,2,0,FALSE,,"Les Chutes-de-la-Chaudière, Québec, Canada",46.67967667,-71.23034167,10,,,FALSE,,,,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
8865973,Sun Nov 19 2017 14:53:30 GMT-0800 (PST),11/19/2017,2017-11-19 22:53:30 UTC,Pacific Time (US & Canada),3631,ajzellmer,2017-11-19 22:56:49 UTC,2018-01-14 00:51:25 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/8865973,https://static.inaturalist.org/photos/11920345/medium.jpg?1511132223,https://static.inaturalist.org/photos/11920345/medium.jpg?1511132223,butterfly,,,1,0,FALSE,3,"1541 Campus Rd, Los Angeles, CA, US",34.1250445,-118.2130283,10,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
9069531,2017/12/07 10:58 AM NZDT,12/7/2017,2017-12-06 21:58:00 UTC,Wellington,57836,nadiacooper1975,2017-12-07 00:11:51 UTC,2017-12-07 15:57:18 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/9069531,https://static.inaturalist.org/photos/12247816/medium.jpeg?1512605395,https://static.inaturalist.org/photos/12247816/medium.jpeg?1512605395,butterfly,,,2,0,FALSE,,"Point Chevalier, Auckland, New Zealand",-36.87349283,174.7032809,15,,,FALSE,,,Auckland,Monarque,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
9677705,Fri Oct 06 2017 11:48:33 GMT-0700 (PDT),10/6/2017,2017-10-06 18:48:33 UTC,Pacific Time (US & Canada),142006,sjacobsen,2018-01-31 05:19:00 UTC,2018-01-31 20:33:08 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/9677705,https://static.inaturalist.org/photos/13227443/medium.jpg?1517375958,https://static.inaturalist.org/photos/13227443/medium.jpg?1517375958,chrysalis,,,1,0,FALSE,3,"The Presidio of San Francisco, San Francisco, CA, US",37.79772502,-122.4723405,10,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
10724120,Sun Apr 08 2018 08:16:28 GMT-0700 (PDT),4/8/2018,2018-04-08 15:16:28 UTC,Pacific Time (US & Canada),3631,ajzellmer,2018-04-09 06:23:50 UTC,2018-04-09 07:31:17 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/10724120,https://static.inaturalist.org/photos/14983740/medium.jpg?1523255037,https://static.inaturalist.org/photos/14983740/medium.jpg?1523255037,caterpillar,,,1,0,FALSE,3,"1551 Campus Rd, Los Angeles, CA, US",34.12519167,-118.213255,0,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
10795563,2018/03/25 3:41 PM CDT,3/25/2018,2018-03-25 20:41:00 UTC,Central Time (US & Canada),21288,russh,2018-04-12 03:21:30 UTC,2020-09-18 20:57:44 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/10795563,https://static.inaturalist.org/photos/15105996/medium.jpeg?1523500625,https://static.inaturalist.org/photos/15105996/medium.jpeg?1523500625,butterfly,,,2,0,FALSE,,"Aransas County, TX, USA",28.21728976,-96.91040039,15625,,,FALSE,,,Texas,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
11096958,2018/04/16 11:18 AM CDT,4/16/2018,2018-04-16 16:18:00 UTC,Central Time (US & Canada),21288,russh,2018-04-18 03:38:13 UTC,2018-09-29 22:59:48 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/11096958,https://static.inaturalist.org/photos/15674015/medium.jpeg?1524021904,https://static.inaturalist.org/photos/15674015/medium.jpeg?1524021904,butterfly,,,2,0,FALSE,,"Blanco County, TX, USA",30.27104185,-98.5677974,1874,,,FALSE,,,Texas,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
11217569,2018/03/22 2:47 PM CDT,3/22/2018,2018-03-22 19:47:00 UTC,Central Time (US & Canada),21288,russh,2018-04-20 15:54:04 UTC,2019-07-30 17:17:36 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/11217569,https://static.inaturalist.org/photos/15912185/medium.jpeg?1524239044,https://static.inaturalist.org/photos/15912185/medium.jpeg?1524239044,butterfly,,,2,0,FALSE,,"Orange County, FL, USA",28.4034336,-81.43022419,199,,,FALSE,,,Florida,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
12499576,Tue May 15 2018 09:47:24 GMT-0700 (PDT),5/15/2018,2018-05-15 16:47:24 UTC,Pacific Time (US & Canada),25680,naturerocks,2018-05-16 00:15:23 UTC,2020-09-16 19:22:19 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/12499576,https://static.inaturalist.org/photos/18043847/medium.jpg?1526429726,https://static.inaturalist.org/photos/18043847/medium.jpg?1526429726,butterfly,,,1,0,FALSE,3,"Ventura County, US-CA, US",34.5060891,-119.3858837,10,obscured,,TRUE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
